"word","oldword","strokes","pinyin","radicals"
"嗄","嗄","13","á","口"
"吖","吖","6","ā","口"
"阿","阿","7","ā","阝"
"啊","啊","10","ā","口"
"锕","録","12","ā","钅"
"捱","捱","11","ái","扌"
"皑","皚","11","ái","白"
"癌","癌","17","ái","疒"
"嘼","嘼","10","ái",""
"嗳","噯","13","ài","口"
"艾","艾","5","ài","艹"
"爱","愛","10","ài","爫"
"砹","砹","10","ài","石"
"隘","隘","12","ài","阝"
"嗌","嗌","13","ài","口"
"嫒","嬡","13","ài","女"
"碍","祂","13","ài","石"
"暧","曖","14","ài","日"
"瑷","璦","14","ài","王"
"鑠","鑠","12","ài",""
"瀏","瀏","10","ǎi",""
"矮","矮","13","ǎi","矢"
"蔼","藹","14","ǎi","艹"
"霭","靄","19","ǎi","雨"
"鰆","鰆","8","ǎi",""
"哎","哎","8","āi","口"
"哀","哀","9","āi","口"
"唉","唉","10","āi","口"
"埃","埃","10","āi","土"
"挨","挨","10","āi","扌"
"锿","鎥","14","āi","钅"
"歡","歡","11","āi","欠"
"犴","犴","6","àn","犭"
"岸","岸","8","àn","山"
"按","按","9","àn","扌"
"案","案","10","àn","木"
"胺","胺","10","àn","月"
"豻","豻","12","àn",""
"暗","暗","13","àn","日"
"黯","黯","21","àn","黑"
"俺","俺","10","ǎn","亻"
"唵","唵","11","ǎn","口"
"埯","埯","11","ǎn","土"
"铵","銨","11","ǎn","钅"
"揞","揞","12","ǎn","扌"
"鹌","鵪","13","ān","鸟"
"鞍","鞍","15","ān","革"
"安","安","6","ān","宀"
"桉","桉","10","ān","木"
"氨","氨","10","ān","气"
"庵","庵","11","ān","广"
"谙","謔","11","ān","讠"
"媕","媕","12","ān","女"
"膚","膚","13","ān","月"
"昂","昂","8","ánɡ","日"
"盎","盎","10","ànɡ","皿"
"肮","骯","8","ānɡ","月"
"敖","敖","10","áo","攵"
"嗷","嗷","13","áo","口"
"廒","廒","13","áo","广"
"獒","獒","14","áo","犬"
"遨","遨","13","áo","辶"
"熬","熬","14","áo","灬"
"翱","翱","16","áo","羽"
"聱","聱","16","áo","耳"
"螯","螯","16","áo","虫"
"鳌","鰲","18","áo","鱼"
"鏖","鏖","19","áo","金"
"環","環","14","áo","王"
"耴","耴","10","áo",""
"坳","坳","8","ào","土"
"岙","巗","7","ào","山"
"傲","傲","12","ào","亻"
"奥","奥","12","ào","大"
"骜","驁","13","ào","马"
"澳","澳","15","ào","氵"
"懊","懊","15","ào","忄"
"鏊","鏊","18","ào","金"
"袄","襖","9","ǎo","衤"
"媪","媪","12","ǎo","女"
"凹","凹","5","āo","凵"
"跋","跋","12","bá","足"
"魃","魃","14","bá","鬼"
"拔","拔","8","bá","扌"
"茇","茇","8","bá","艹"
"菝","菝","11","bá","艹"
"坝","壩","7","bà","土"
"爸","爸","8","bà","父"
"罢","羣","10","bà","罒"
"鲅","鮡","13","bà","鱼"
"霸","霸","21","bà","雨"
"灞","灞","24","bà","氵"
"把","把","7","bǎ","扌"
"钯","鈠","9","bǎ","钅"
"靶","靶","13","bǎ","革"
"鲃","鲃","12","bā","鱼"
"八","八","2","bā","八"
"巴","巴","4","bā","巳"
"叭","叭","5","bā","口"
"扒","扒","5","bā","扌"
"吧","吧","7","bā","口"
"岜","岜","7","bā","山"
"芭","芭","7","bā","艹"
"疤","疤","9","bā","疒"
"捌","捌","10","bā","扌"
"笆","笆","10","bā","竹"
"粑","粑","10","bā","米"
"白","白","5","bái","白"
"败","敗","8","bài","贝"
"拜","拜","9","bài","手"
"稗","粺","13","bài","禾"
"百","百","6","bǎi","白"
"佰","佰","8","bǎi","亻"
"柏","栢","9","bǎi","木"
"捭","捭","11","bǎi","扌"
"摆","擺","13","bǎi","扌"
"掰","掰","12","bāi","手"
"産","産","8","baiwǎ",""
"办","辦","4","bàn","力"
"半","半","5","bàn","十"
"伴","伴","7","bàn","亻"
"扮","扮","7","bàn","扌"
"拌","拌","8","bàn","扌"
"绊","給","8","bàn","纟"
"瓣","瓣","19","bàn","瓜"
"湴","湴","11","bàn","氵"
"阪","阪","6","bǎn","阝"
"坂","坂","7","bǎn","土"
"板","板","8","bǎn","木"
"版","版","8","bǎn","片"
"钣","鈑","9","bǎn","钅"
"舨","舨","10","bǎn","舟"
"扳","扳","7","bān","扌"
"班","班","10","bān","王"
"般","般","10","bān","舟"
"颁","頲","10","bān","页"
"斑","斑","12","bān","文"
"搬","搬","13","bān","扌"
"瘢","瘢","15","bān","疒"
"癍","癍","17","bān","疒"
"鴛","鴛","12","bān",""
"蚌","蝝","10","bànɡ","虫"
"傍","傍","12","bànɡ","亻"
"棒","棒","12","bànɡ","木"
"谤","謗","12","bànɡ","讠"
"蒡","蒡","13","bànɡ","艹"
"镑","鎊","15","bànɡ","钅"
"绑","綁","9","bǎnɡ","纟"
"榜","榜","14","bǎnɡ","木"
"膀","髈","14","bǎnɡ","月"
"縭","縭","8","bānɡ",""
"邦","邦","6","bānɡ","阝"
"帮","幫","9","bānɡ","巾"
"梆","梆","10","bānɡ","木"
"浜","浜","10","bānɡ","氵"
"雹","雹","13","báo","雨"
"薄","薄","16","báo","艹"
"鲍","鮱","13","bào","鱼"
"报","報","7","bào","扌"
"抱","抱","8","bào","扌"
"豹","豹","10","bào","豸"
"暴","暴","15","bào","日"
"爆","爆","19","bào","火"
"瀑","瀑","18","bào","氵"
"宀","宀","11","bǎo",""
"寶","寶","12","bǎo",""
"宝","寳","8","bǎo","宀"
"饱","飽","8","bǎo","饣"
"保","保","9","bǎo","亻"
"鸨","鴇","9","bǎo","鸟"
"珤","珤","8","bǎo",""
"堡","堡","12","bǎo","土"
"葆","葆","12","bǎo","艹"
"褓","緥","14","bǎo","衤"
"鴕","鴕","8","bǎo",""
"勹","勹","2","bāo","勹"
"包","包","5","bāo","勹"
"孢","孢","8","bāo","子"
"苞","苞","8","bāo","艹"
"胞","胞","9","bāo","月"
"剝","剝","9","bāo",""
"煲","煲","13","bāo","火"
"龅","齙","13","bāo","齿"
"褒","褒","15","bāo","衣"
"剥","剥","10","bāo","刂"
"贝","貝","4","bèi","贝"
"狈","猲","7","bèi","犭"
"邶","邶","7","bèi","阝"
"备","備","8","bèi","夂"
"鞴","鞴","19","bèi","革"
"鐾","鐾","21","bèi","金"
"背","背","9","bèi","月"
"钡","鋇","9","bèi","钅"
"倍","倍","10","bèi","亻"
"悖","悖","10","bèi","忄"
"被","被","10","bèi","衤"
"惫","憊","12","bèi","心"
"焙","焙","12","bèi","火"
"辈","輩","12","bèi","车"
"碚","碚","13","bèi","石"
"蓓","蓓","13","bèi","艹"
"褙","褙","14","bèi","衤"
"哱","哱","10","bèi","口"
"北","北","5","běi","匕"
"碑","碑","13","bēi","石"
"鹎","鵯","13","bēi","鸟"
"陂","陂","7","bēi","阝"
"卑","卑","8","bēi","十"
"杯","梘","8","bēi","木"
"悲","悲","12","bēi","忄"
"呗","唄","7","bei0","口"
"坌","坌","7","bèn","土"
"笨","笨","11","bèn","竹"
"條","條","5","bèn",""
"夲","夲","15","běn",""
"本","本","5","běn","木"
"苯","苯","8","běn","艹"
"畚","畚","10","běn","田"
"贲","賡","9","bēn","贝"
"锛","錻","13","bēn","钅"
"奔","奔","8","bēn","大"
"甭","甭","9","bénɡ","用"
"泵","泵","9","bènɡ","水"
"迸","迸","9","bènɡ","辶"
"甏","甏","16","bènɡ","瓦"
"蹦","蹦","18","bènɡ","足"
"間","鏰","16","bènɡ","钅"
"錫","錫","12","bènɡ",""
"埄","埄","5","běnɡ",""
"崩","崩","11","bēnɡ","山"
"绷","緓","11","bēnɡ","纟"
"嘣","嘣","14","bēnɡ","口"
"搒","搒","13","bēnɡ","扌"
"荸","荸","10","bí","艹"
"鼻","鼻","14","bí","鼻"
"币","幣","4","bì","巾"
"必","必","5","bì","心"
"毕","畢","6","bì","比"
"闭","閉","6","bì","门"
"坒","坒","4","bì",""
"庇","庇","7","bì","广"
"畀","畀","8","bì","田"
"哔","嗶","9","bì","口"
"毖","毖","9","bì","比"
"荜","蓽","9","bì","艹"
"陛","陛","9","bì","阝"
"毙","斃","10","bì","比"
"狴","狴","10","bì","犭"
"铋","鉭","10","bì","钅"
"婢","婢","11","bì","女"
"庳","庳","11","bì","广"
"敝","敝","11","bì","攵"
"弊","弊","14","bì","廾"
"碧","碧","14","bì","石"
"箅","箅","14","bì","竹"
"萆","萆","11","bì","艹"
"弼","弼","12","bì","弓"
"愎","愎","12","bì","忄"
"皕","皕","12","bì","白"
"筚","篳","12","bì","竹"
"滗","滗","13","bì","氵"
"痹","痹","13","bì","疒"
"痺","痺","13","bì",""
"蓖","蓖","13","bì","艹"
"裨","裨","13","bì","衤"
"跸","蹕","13","bì","足"
"蔽","蔽","14","bì","艹"
"壁","壁","16","bì","土"
"嬖","嬖","16","bì","女"
"篦","篦","16","bì","竹"
"薜","薜","16","bì","艹"
"觱","觱","16","bì","角"
"避","避","16","bì","辶"
"濞","濞","17","bì","氵"
"臂","臂","17","bì","月"
"髀","髀","17","bì","骨"
"璧","璧","18","bì","玉"
"襞","襞","19","bì","衣"
